url_path,views_total,views_unique
/mike7seven/CIFAR-10/blob/main/Conclusion.md,4,2
/mike7seven/CIFAR-10,3,2
/mike7seven/CIFAR-10/blob/main/cifar-mlx/model.py,2,1
/mike7seven/CIFAR-10/blob/main/.github/workflows/traffic-archive.yml,1,1
/mike7seven/CIFAR-10/blob/main/cifar-mlx/README.md,1,1
/mike7seven/CIFAR-10/blob/main/cifar-mlx/pyproject.toml,1,1
/mike7seven/CIFAR-10/blob/main/cifar-mlx/uv.lock,1,1
/mike7seven/CIFAR-10/deployments/github-pages,1,1
/mike7seven/CIFAR-10/issues,1,1
/mike7seven/CIFAR-10/pulse,1,1
