time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-12 00:00:00+00:00,12,7,0,0
2026-02-13 00:00:00+00:00,17,8,0,0
2026-02-14 00:00:00+00:00,11,10,1,1
2026-02-15 00:00:00+00:00,52,29,49,1
2026-02-16 00:00:00+00:00,19,12,4,1
2026-02-17 00:00:00+00:00,16,7,5,1
2026-02-18 00:00:00+00:00,6,5,3,1
2026-02-19 00:00:00+00:00,15,6,0,0
2026-02-20 00:00:00+00:00,6,5,0,0
2026-02-21 00:00:00+00:00,5,4,6,2
2026-02-22 00:00:00+00:00,12,7,0,0
2026-02-23 00:00:00+00:00,8,7,3,1
2026-02-24 00:00:00+00:00,10,5,1,1
2026-02-25 00:00:00+00:00,14,9,0,0
