time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,11,6,0,0
2026-06-18 00:00:00+00:00,34,10,0,0
2026-06-19 00:00:00+00:00,28,8,0,0
2026-06-20 00:00:00+00:00,44,11,0,0
2026-06-21 00:00:00+00:00,23,8,0,0
2026-06-22 00:00:00+00:00,39,11,0,0
2026-06-23 00:00:00+00:00,40,12,0,0
2026-06-24 00:00:00+00:00,28,8,0,0
2026-06-25 00:00:00+00:00,23,8,0,0
2026-06-26 00:00:00+00:00,10,5,0,0
2026-06-27 00:00:00+00:00,17,7,0,0
2026-06-28 00:00:00+00:00,24,9,0,0
2026-06-29 00:00:00+00:00,8,6,0,0
2026-06-30 00:00:00+00:00,12,5,0,0
