time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-06 00:00:00+00:00,0,0,0,0
2026-02-07 00:00:00+00:00,1,1,1,1
2026-02-08 00:00:00+00:00,103,56,15,1
2026-02-09 00:00:00+00:00,24,12,26,1
2026-02-10 00:00:00+00:00,48,28,24,1
2026-02-11 00:00:00+00:00,12,8,0,0
2026-02-12 00:00:00+00:00,12,7,0,0
2026-02-13 00:00:00+00:00,17,8,0,0
2026-02-14 00:00:00+00:00,11,10,1,1
2026-02-15 00:00:00+00:00,52,29,49,1
2026-02-16 00:00:00+00:00,19,12,4,1
2026-02-17 00:00:00+00:00,16,7,5,1
2026-02-18 00:00:00+00:00,6,5,3,1
2026-02-19 00:00:00+00:00,15,6,0,0
