url_path,views_total,views_unique
/mike7seven/CIFAR-10,28,1
/mike7seven/CIFAR-10/pulse,13,1
/mike7seven/CIFAR-10/graphs/traffic,10,1
/mike7seven/CIFAR-10/tree/main/.claude,5,1
/mike7seven/CIFAR-10/actions,4,1
/mike7seven/CIFAR-10/blob/main/cifar-tutorial.py,4,1
/mike7seven/CIFAR-10/actions/runs/21847600739/job/63046995461,3,1
/mike7seven/CIFAR-10/actions/runs/21847919104/job/63047961555,3,1
/mike7seven/CIFAR-10/actions/workflows/traffic-archive.yml,3,1
/mike7seven/CIFAR-10/blob/main/CLAUDE.md,3,1
